Sucursal,Region,SaldoInsolutoActual,SaldoInsolutoVencidoActual,"SaldoInsoluto
3089Actual","Saldo
60en6Actual",CastigosActual,CapitalLiquidadoActual,CapitalDispersadoActual,%FPDActual,QuitasActual
ValleComitán,Sur,25487543.92,4419110.469,2458087.695,237697.6876,432645.35,0,922124.74,0.131173,1538.88
ValledeGuadalupe,Norte,36707159.79,2360562.58,1423633.368,0,269158.23,60778.88,2544753.91,0.041071,13832.54
ValledeNavojoa,Perla,35216896.91,2900691.896,1215408.045,92635.77,323010.02,10722.08,1745890.45,0.027255,25381.37
ValledelRío,Perla,17345784.42,2213025.325,1070796.453,109637.9532,443108.04,28356.04,994831.58,0.086724,14903.29
ValleMexicali,Perla,32870343.93,1437589.746,1471186.248,86081.8852,199223.09,0,1649841.59,0.04902,42448.89
VallePiedad,Occidente,7993173.601,394233.3852,162904.448,12528.3952,21452.24,0,502003.63,0.022727,1069.97
ValleReal,Norte,24389719.48,1120966.451,621962.6676,35243.9612,247726.72,14068.88,1255699.4,0.006897,15960.71
ValleRica,Norte,22346209.96,2771783.985,1474858.61,161271.0288,478890.76,35458.08,1096174.16,0.034615,67401.45
ValleTepic,Occidente,29154455.33,848907.1832,743314.5884,44618.1788,164381.97,125963.08,1844211.31,0.010101,52275.85
ValleVerde,Centro2,16513681.47,1344389.229,1429133.914,112210.5564,195685.29,0,697957.57,0.151515,1782.76
ValleZamora,Occidente,28071774.35,2139169.747,1597816.768,51916.2232,168379.69,35330.73,1436055.23,0.034583,12520.09
VallesdeCuliacán,Perla,38607622.36,2281159.204,1754733.642,70197.4932,338698.26,47160.46,2018658.91,0.006273,10301.1
VallesdeOrizaba,Centro1,34370384.11,3134766.83,2408119.287,270974.4256,586076.03,17691.51,1898490.1,0.022583,7262.26
VallesdelNorte,Norte,31870767.63,1296851.732,1796508.239,237280.2628,224057.34,103929.19,2448428.67,0.03119,20113.16
VallesdelNorteBIS,Norte,NA,NA,NA,NA,NA,NA,NA,NA,NA
VallesToluca,Centro2,36059550.43,2982285.595,1674617.843,0,513617.93,112951.84,2024137.28,0.092929,83588.98
VictoriaAlta,Norte,28995634.42,1421033.219,1201087.064,83095.3532,332507.11,32900.98,1115078.81,0.030556,11024.14
VillaCentral,Sur,35482141.51,7518785.256,2898248.59,815479.7504,1250172.71,63630.84,1689085.84,0.102963,25507.99
VillaNorte,Sur,17248919.02,1971008.018,1605994.936,110667.9668,321562.66,0,1467106.88,0.048529,5746.13
ZapopanPlaza,Occidente,15329385.2,742209.7556,580657.8116,0,86047.3,108884.58,620395.01,0,3728.5
